"metabolites","sample","scaled_abundance","abundance","io","qc","corrected_abundance"
"12,13 DiHOME","QC_S_1",11.1925562955066,222160.122314226,1,TRUE,192583.803861489
"12,13 DiHOME","Sample_011820",3.29285546337804,79401.1684714739,3,FALSE,68721.6925043675
"12,13 DiHOME","Sample_011860",2.57117545545178,62955.2865395283,4,FALSE,54444.7758812164
"12,13 DiHOME","Sample_011865",8.73634974076358,188982.449270804,5,FALSE,163306.251199365
"12,13 DiHOME","Sample_011870",3.56991079407359,80536.8318494522,6,FALSE,69539.8059340757
"12,13 DiHOME","Sample_011830",4.28614584222492,94755.6161995877,7,FALSE,81752.6350579585
"12,13 DiHOME","Sample_011835",8.92287426385905,186984.867812261,8,FALSE,161198.648806496
"12,13 DiHOME","Sample_011840",4.15937583661489,88744.3065502965,9,FALSE,76445.8370692709
"12,13 DiHOME","Sample_011890",7.00554078510349,145493.718666184,10,FALSE,125232.271412245
"12,13 DiHOME","Sample_011895",5.54374038736425,114653.515287493,11,FALSE,98609.4030410216
"12,13 DiHOME","Sample_011900",4.89543870788568,99773.1340374088,12,FALSE,85744.0076011574
"12,13 DiHOME","QC_S_2",11.1925562955066,224269.451289579,13,TRUE,192583.803861489
"12,13 DiHOME","Sample_011821",6.51236774342438,126295.728479611,15,FALSE,112975.96761876
"12,13 DiHOME","Sample_011861",3.48485083869501,64482.9228573705,16,FALSE,58910.8933406397
"12,13 DiHOME","Sample_011866",4.88452090313053,87565.734573837,17,FALSE,81740.1935791138
"12,13 DiHOME","Sample_011871",8.29303664792083,145678.905506322,18,FALSE,139012.697281711
"12,13 DiHOME","Sample_011831",8.21484506740214,142044.19726419,19,FALSE,138628.540479164
"12,13 DiHOME","Sample_011836",6.47002397361819,108308.406117219,20,FALSE,108165.20864935
"12,13 DiHOME","Sample_011841",5.13699400514562,83185.9167774213,21,FALSE,85056.4058103616
"12,13 DiHOME","Sample_011891",11.1764864106332,184842.987793229,22,FALSE,193614.944701369
"12,13 DiHOME","Sample_011896",11.9218863240068,184732.165052814,23,FALSE,198342.685011112
"12,13 DiHOME","Sample_011901",11.8906373049411,184328.637124541,24,FALSE,202990.860085961
"12,13 DiHOME","QC_S_3",11.1925562955066,170388.268268553,25,TRUE,192583.803861489
"12,13 DiHOME","Sample_011822",6.10804359858655,97163.2143568242,27,FALSE,102335.869986102
"12,13 DiHOME","Sample_011862",6.32764603676265,102708.309556859,28,FALSE,104611.522780691
"12,13 DiHOME","Sample_011867",5.31682285128611,89516.4102145925,29,FALSE,88266.5933313548
"12,13 DiHOME","Sample_011872",3.69911357874918,64439.4569071309,30,FALSE,61575.4421975709
"12,13 DiHOME","Sample_011832",7.76882975357097,142672.66042382,31,FALSE,132243.292172062
"12,13 DiHOME","Sample_011837",4.125218833857,77705.6981505405,32,FALSE,69928.4183898871
"12,13 DiHOME","Sample_011842",4.98562130335033,97302.572830165,33,FALSE,85086.6451708653
"12,13 DiHOME","Sample_011892",3.97289983686817,80428.6456892128,34,FALSE,68396.1741679527
"12,13 DiHOME","Sample_011897",5.4444614670517,115063.488828108,35,FALSE,95229.4837449705
"12,13 DiHOME","Sample_011902",3.46121911872725,76000.4297946652,36,FALSE,61259.6142524231
"12,13 DiHOME","QC_S_4",11.1925562955066,245155.585792615,37,TRUE,192583.803861489
"12,13 DiHOME","Sample_011823",7.50329813664222,159393.818855462,39,FALSE,131938.259145229
"12,13 DiHOME","Sample_011863",4.05187956194328,83719.7629155904,40,FALSE,71211.4482986671
"12,13 DiHOME","Sample_011868",6.02927319102675,120936.986406738,41,FALSE,105787.50952289
"12,13 DiHOME","Sample_011873",9.03699034096649,173378.05496258,42,FALSE,156089.151452704
"12,13 DiHOME","Sample_011833",9.38747618237294,175930.203874478,43,FALSE,163152.228771862
"12,13 DiHOME","Sample_011838",5.31828203737039,96272.6008600476,44,FALSE,92049.7559455708
"12,13 DiHOME","Sample_011843",6.43447421402275,112241.004951454,45,FALSE,110753.364262364
"12,13 DiHOME","Sample_011893",7.62501280430846,129500.286602959,46,FALSE,132010.014850892
"12,13 DiHOME","Sample_011898",4.7067101234012,76268.2727127525,47,FALSE,80405.5664026894
"12,13 DiHOME","Sample_011903",7.20547403697681,113845.407907644,48,FALSE,124271.674411003
"12,13 DiHOME","QC_S_5",11.1925562955066,170178.095289376,49,TRUE,192583.803861489
"12,13 DiHOME","Sample_011824",7.06282277868284,101211.767828694,51,FALSE,120042.566707354
"12,13 DiHOME","Sample_011864",9.96082845332329,138240.609774044,52,FALSE,167998.156531316
"12,13 DiHOME","Sample_011869",5.87533810354104,79137.7740677327,53,FALSE,98600.8671092663
"12,13 DiHOME","Sample_011874",6.75740283569458,89620.9137157451,54,FALSE,114554.244860568
"12,13 DiHOME","Sample_011834",8.15678027374902,104636.774112432,55,FALSE,137303.781434017
"12,13 DiHOME","Sample_011839",5.40653383395363,66730.5637597396,56,FALSE,89955.2294442578
"12,13 DiHOME","Sample_011844",8.72200734399035,108347.722500498,57,FALSE,150158.187365162
"12,13 DiHOME","Sample_011894",8.05493203213098,93516.2168350151,58,FALSE,133347.960849413
"12,13 DiHOME","Sample_011899",7.88768477685967,88935.1297539508,59,FALSE,130588.735054511
"12,13 DiHOME","Sample_011904",5.94418556229827,64410.9565487449,60,FALSE,97478.684612336
"12,13 DiHOME","QC_S_6",11.1925562955066,123351.300214587,61,TRUE,192583.803861489
"13-HODE","QC_S_1",1.69800397540701,79348.8186635234,1,TRUE,68842.6335033668
"13-HODE","Sample_011820",0.815940560504324,46303.9184912144,3,FALSE,40124.3491552872
"13-HODE","Sample_011860",0.231507481536781,13337.9999863793,4,FALSE,11550.9533778672
"13-HODE","Sample_011865",1.2938115872713,65842.7548945966,5,FALSE,56986.5196061897
"13-HODE","Sample_011870",0.666473029368881,35365.977675309,6,FALSE,30590.5291411716
"13-HODE","Sample_011830",0.606050744483813,31508.9146250208,7,FALSE,27237.8048567156
"13-HODE","Sample_011835",2.55417359135513,125851.725607437,8,FALSE,108726.481461241
"13-HODE","Sample_011840",0.568975708511152,28538.6801879645,9,FALSE,24640.3970091419
"13-HODE","Sample_011890",1.59445794844343,77833.1002563173,10,FALSE,67160.8155792418
"13-HODE","Sample_011895",0.865367924745754,42058.6117536389,11,FALSE,36269.7480798505
"13-HODE","Sample_011900",0.895845138500498,42898.8514268612,12,FALSE,36972.0389309232
"13-HODE","QC_S_2",1.69800397540701,79926.620236933,13,TRUE,68842.6335033668
"13-HODE","Sample_011821",1.97401070578313,90059.2619639601,15,FALSE,80690.9737718608
"13-HODE","Sample_011861",0.308082896715028,13421.0105619482,16,FALSE,12271.7727242549
"13-HODE","Sample_011866",0.740719860914762,31287.0997323641,17,FALSE,29207.6071514882
"13-HODE","Sample_011871",2.28277352439053,94558.7935409931,18,FALSE,90163.7595512143
"13-HODE","Sample_011831",0.813192673696123,33185.3523058363,19,FALSE,32335.1612356132
"13-HODE","Sample_011836",0.635618438109941,25134.5713386157,20,FALSE,25038.3951438332
"13-HODE","Sample_011841",0.777024870067439,29751.0616462638,21,FALSE,30315.2523100584
"13-HODE","Sample_011891",1.57810623211378,61771.5244667207,22,FALSE,64416.647208427
"13-HODE","Sample_011896",3.25443315743707,119474.67374305,23,FALSE,127577.729080008
"13-HODE","Sample_011901",1.78364956986878,65579.9763756418,24,FALSE,71747.8984243574
"13-HODE","QC_S_3",1.69800397540701,61378.8168891778,25,TRUE,68842.6335033668
"13-HODE","Sample_011822",0.930241901430752,34120.6356254887,27,FALSE,36723.9980044999
"13-HODE","Sample_011862",0.67650031838572,24979.5388666359,28,FALSE,26353.2178336742
